"BeNursingPrescription.intendedPerformer.discipline","BeNursingPrescription.intendedPerformer.discipline","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The required discipline of the provider party","The required discipline of the provider party","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.discipline",1,1,"",""
"BeNursingPrescription.intendedPerformer.period","BeNursingPrescription.intendedPerformer.period","","","",0,1,"","","","Period {[]} {[]}
","Start and enddate for the particular provider","Start and enddate for the particular provider","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.period",0,1,"",""
"BeNursingPrescription.intendedPerformer.organization","BeNursingPrescription.intendedPerformer.organization","","","",0,1,"","","","Reference {[]} {[]}
","Reference to an organization that will add the performer","Reference to an organization that will add the performer","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.organization",0,1,"",""
"BeNursingPrescription.intendedPerformer.executionPeriod","BeNursingPrescription.intendedPerformer.executionPeriod","","","",0,1,"","","","Period {[]} {[]}
","Period in which the caregiver executes the treatment","Period in which the caregiver executes the treatment","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.executionPeriod",0,1,"",""
"BeNursingPrescription.intendedPerformer.status","BeNursingPrescription.intendedPerformer.status","","","",0,1,"","","","code {[]} {[]}
","Status of the action executed by the performer","Status of the action executed by the performer","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.status",0,1,"",""
"BeNursingPrescription.intendedPerformer.statusReason","BeNursingPrescription.intendedPerformer.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The reason of the status of the action executed by the performer","The reason of the status of the action executed by the performer","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.statusReason",0,1,"",""
"BeNursingPrescription.serviceRequested","BeNursingPrescription.serviceRequested","","","",1,1,"","","","CodeableConcept {[]} {[]}
","What is prescribed","What is prescribed","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.serviceRequested",1,1,"",""
"BeNursingPrescription.serviceRequestedDetail","BeNursingPrescription.serviceRequestedDetail","","","",0,1,"","","","CodeableConcept {[]} {[]}
","More detailed specification of the prescribed act","More detailed specification of the prescribed act","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.serviceRequestedDetail",0,1,"",""
"BeNursingPrescription.problemCode","BeNursingPrescription.problemCode","","","",0,1,"","","","Reference {[]} {[]}
","The problem (code or reference) that is the main reason for this prescription","The problem (code or reference) that is the main reason for this prescription","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.problemCode",0,1,"",""
"BeNursingPrescription.supportingInfo","BeNursingPrescription.supportingInfo","","","",0,1,"","","","Reference {[]} {[]}
","Care Set Problem","Care Set Problem","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.supportingInfo",0,1,"",""
"BeNursingPrescription.resultReceiver","BeNursingPrescription.resultReceiver","","","",1,1,"","","","boolean {[]} {[]}
","True if the prescriber wants feedback. Other caregivers can be mentioned in the note","True if the prescriber wants feedback. Other caregivers can be mentioned in the note","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.resultReceiver",1,1,"",""
"BeNursingPrescription.status","BeNursingPrescription.status","","","",1,1,"","","","code {[]} {[]}
","Current status","Current status","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-status","",,,,"BeReferralPrescription.status",1,1,"",""
"BeNursingPrescription.statusReason","BeNursingPrescription.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason current status","Reason current status","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.statusReason",0,1,"",""
"BeNursingPrescription.treatmentStatus","BeNursingPrescription.treatmentStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Status of the treatment","Status of the treatment","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.treatmentStatus",0,1,"",""
"BeNursingPrescription.treatmentStatusReason","BeNursingPrescription.treatmentStatusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason treatment status","Reason treatment status","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.treatmentStatusReason",0,1,"",""
"BeNursingPrescription.bodyLocation","BeNursingPrescription.bodyLocation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Place where the treatment should be executed","Place where the treatment should be executed","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.bodyLocation",0,*,"",""
"BeNursingPrescription.bodyLocation.bodySite","BeNursingPrescription.bodyLocation.bodySite","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Anatomical place where the treatment should be executed","Anatomical place where the treatment should be executed","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.bodyLocation.bodySite",0,1,"",""
"BeNursingPrescription.bodyLocation.bodyLaterality","BeNursingPrescription.bodyLocation.bodyLaterality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Side of the body","Side of the body","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.bodyLocation.bodyLaterality",0,1,"",""
"BeNursingPrescription.note","BeNursingPrescription.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional text notes about the request.","Additional text notes about the request.","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.note",0,*,"",""
"BeNursingPrescription.prescriptionType","BeNursingPrescription.prescriptionType","","","",1,1,"","","","code {[]} {[]}
","Proposal, Prolongation, Prescription","Proposal, Prolongation, Prescription","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.prescriptionType",1,1,"",""
"BeNursingPrescription.serviceRequestNumber","BeNursingPrescription.serviceRequestNumber","","","",0,1,"","","","positiveInt {[]} {[]}
","number of sessions prescribed","number of sessions prescribed","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.serviceRequestNumber",0,1,"",""
"BeNursingPrescription.serviceRequestFrequency","BeNursingPrescription.serviceRequestFrequency","","","",0,1,"","","","CodeableConcept {[]} {[]}
","frequency of the treatment","frequency of the treatment","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.serviceRequestFrequency",0,1,"",""
"BeNursingPrescription.serviceRequestDayPeriod","BeNursingPrescription.serviceRequestDayPeriod","","","",0,*,"","","","CodeableConcept {[]} {[]}
","period of the day on which the treatment must take place","period of the day on which the treatment must take place","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.serviceRequestDayPeriod",0,*,"",""
"BeNursingPrescription.route","BeNursingPrescription.route","","","",0,1,"","","","CodeableConcept {[]} {[]}
","administration route of the treatment","administration route of the treatment","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.route",0,1,"",""
