/github/workspace/fsh-generated/resources/CarePlan-gpvisit.json: line 20, col 10, Error - Unable to resolve resource with reference 'encounter1' (STRUCTURE)
/github/workspace/fsh-generated/resources/ServiceRequest-example04-referralprescription-nursing-bladder-care.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example05-referralprescription-nursing-digestive-system-care.json: line 173, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example06-referralprescription-nursing-compression-therapy.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example09-referralprescription-nursing-woundcare.json: line 173, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example12-referralprescription-nursing-annex81.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example12-referralprescription-nursing-annex81.json: line 191, col 6, Error - None of the codings provided are in the value set 'BeVSRequestedServicesNurseDetail' (https://www.ehealth.fgov.be/standards/fhir/referral/ValueSet/be-vs-requested-services-nurse-detail|1.0.0), and a coding from this value set is required) (codes = https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-nursing-annex81-inadequate-adherence#confused) (CODEINVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-example12-referralprescription-nursing-annex81.json: line 193, col 10, Info - Code System URI 'https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-nursing-annex81-inadequate-adherence' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ServiceRequest-example12-referralprescription-nursing-annex81.json: line 199, col 6, Error - None of the codings provided are in the value set 'BeVSRequestedServicesNurseDetail' (https://www.ehealth.fgov.be/standards/fhir/referral/ValueSet/be-vs-requested-services-nurse-detail|1.0.0), and a coding from this value set is required) (codes = https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-nursing-annex81-inadequate-adherence-link#dementia) (CODEINVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-example12-referralprescription-nursing-annex81.json: line 201, col 10, Info - Code System URI 'https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-nursing-annex81-inadequate-adherence-link' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ServiceRequest-example16-referralprescription-nursing-bladder-care.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example24-referralprescription-nursing-non-reimbursable.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example26-referralprescription-nursing-other.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example32-referralprescription-nursing-chronical-psychiatric.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-laboratory-order-example1.json: line 203, col 181, Warning - Base64 encoded values SHOULD not contain any whitespace (per RFC 4648). Note that non-validating readers are encouraged to accept whitespace anyway (INVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-laboratory-order-example1.json: line 414, col 29, Error - The value provided ('original-order') is not in the value set 'BeVsRequestIntent' (https://www.ehealth.fgov.be/standards/fhir/referral/ValueSet/be-vs-request-intent|1.0.0), and a code is required from this value set  (error message = The provided code 'http://hl7.org/fhir/request-intent#original-order' is not in the value set 'https://www.ehealth.fgov.be/standards/fhir/referral/ValueSet/be-vs-request-intent|1.0.0') (CODEINVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-laboratory-order-example1.json: line 479, col 10, Info - Code System URI 'https://www.SOME_NOMENCLATURE_SYSTEM.be/' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ServiceRequest-referralprescription-nursing-example2-digestive-system-care.json: line 161, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-referralprescription-nursing-example3-compression-therapy.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-referralprescription-nursing-example5-digestive-system-care.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-referralprescription-nursing-example6-compression-therapy.json: line 167, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-uc2a-1.json: line 80, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-uc2a-2.json: line 90, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-uc2a-3.json: line 90, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-uc5a-1.json: line 122, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-uc5a-1.json: line 50, col 12, Info - The code '419161000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 60, col 16, Info - Reference to draft item http://hl7.org/fhir/task-status|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 71, col 16, Info - Reference to draft item https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-cs-co-prescriber-choice|1.0.0 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 93, col 16, Info - Reference to draft item http://hl7.org/fhir/task-status|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 104, col 16, Info - Reference to draft item https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-cs-co-prescriber-choice|1.0.0 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 126, col 16, Info - Reference to draft item http://hl7.org/fhir/task-status|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 137, col 16, Info - Reference to draft item https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-cs-co-prescriber-choice|1.0.0 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 159, col 16, Info - Reference to draft item http://hl7.org/fhir/task-status|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 170, col 16, Info - Reference to draft item https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-cs-co-prescriber-choice|1.0.0 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 313, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh211-1.json: line 303, col 4, Error - None of the codings provided are in the value set 'BeVSRequestedServicesNurse' (https://www.ehealth.fgov.be/standards/fhir/referral/ValueSet/be-vs-requested-services-nurse|1.0.0), and a coding from this value set is required) (codes = http://snomed.info/sct#761894009) (CODEINVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh222p12-1.json: line 98, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh222p12-2.json: line 90, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh222p12-3.json: line 98, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh222p13-1.json: line 122, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh222p13-1.json: line 38, col 12, Info - The code '419161000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh222p13-2.json: line 112, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh241p110-1.json: line 56, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh241p111-1.json: line 56, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh241p15-1.json: line 75, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh241p16-1.json: line 85, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh241p17-1.json: line 85, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh241p18-1.json: line 75, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-ucgh241p19-1.json: line 74, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-BeDiagnosticImagingPrescription.json: line 1, col 51136, Error - Rule sdf-3: 'Each element definition in a snapshot must have a formal definition and cardinalities' Failed (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-BeLaboratoryPrescription.json: line 1, col 39402, Error - Rule sdf-3: 'Each element definition in a snapshot must have a formal definition and cardinalities' Failed (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-BeModelNursingPrescription.json: line 1, col 40863, Error - Rule sdf-3: 'Each element definition in a snapshot must have a formal definition and cardinalities' Failed (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-BeModelReferralPrescription.json: line 1, col 39687, Error - Rule sdf-3: 'Each element definition in a snapshot must have a formal definition and cardinalities' Failed (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-BeModelReferralRequestGroup.json: line 1, col 14425, Error - Rule sdf-3: 'Each element definition in a snapshot must have a formal definition and cardinalities' Failed (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-BePhysiotherapyPrescription.json: line 1, col 39942, Error - Rule sdf-3: 'Each element definition in a snapshot must have a formal definition and cardinalities' Failed (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-be-co-prescriber.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-co-prescriber-info.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-feedback-to-prescriber.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-inform-party.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-latest-draft-date.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-latest-draft-date.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-latest-end-date.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-latest-end-date.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-performer-type.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-proposal-type.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-proposal-type.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-pss-info.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-pss-info.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-ext-validity-period.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-lab-prescription.json: line 0, col 0, Error - Illegal constraint [must-support = false] when [must-support = true] in the base profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-lab-prescription.json: line 0, col 0, Error - Illegal constraint [must-support = false] when [must-support = true] in the base profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-referralprescription.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-referralprescription-diagnosticimaging.json: line 0, col 0, Warning - The valueSet reference http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html on element ServiceRequest.orderDetail.coding could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-be-referralprescription-diagnosticimaging.json: line 0, col 0, Warning - The valueSet reference http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html on element ServiceRequest.orderDetail.coding could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/Task-example01-care02-colon-cleansing-referral-task.json: line 10, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/Task-referral-task.json: line 10, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/Task-referral-task-uc2a-1.json: line 10, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/Task-referral-task-uc5a-1.json: line 10, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-be-vs-bodysite-nursing.json: line 0, col 0, Warning - The code '30547001' is not valid in the system http://snomed.info/sct version http://snomed.info/sct/11000172109 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-be-vs-performer-task-status-reason.json: line 1, col 928, Info - This include has some concepts with displays and some without - check that this is what is intended (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-be-vs-referral-category.json: line 1, col 4023, Info - This SNOMED-CT based include has some concepts with semantic tags (FSN terms) and some without (preferred terms) - check that this is what is intended (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ValueSet-be-vs-requested-services-nurse-detail.json: line 0, col 0, Warning - The code '37318803' is not valid in the system http://snomed.info/sct version http://snomed.info/sct/11000172109 (BUSINESSRULE)
/github/workspace/input/maps/StructureMap-be-map-model-referral-prescription.json: line 1, col 2696, Warning - Rule smp-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed (INVARIANT)
/github/workspace/input/maps/StructureMap-be-map-model-referral-prescription.json: line 1, col 948, Error - The type BeModelReferralPrescription which maps to the canonical URL https://www.ehealth.fgov.be/standards/fhir/referral/StructureDefinition/be-model-referralprescription is not known, so the paths cannot be validated (INVALID)

ReferralPrescription : Validation Results
=========================================

err = 16, warn = 113, info = 56
IG Publisher Version: 1.4.2
Generated Tue Sep 05 14:35:18 UTC 2023. FHIR version 4.0.1 for hl7.fhir.be.referral#1.0.0 (canonical = https://www.ehealth.fgov.be/standards/fhir/referral)
